Sr No,Company Name,NSE/BSE Ticker,Exchange Index,SME Type,Sector,Industry,Theme,Loan Taken,Estimated Total Debt (Cr),Estimated Market Cap (Cr),Data Source,Note
256,Black Box Networks,BLACKBOX,BSE SME,BSE SME,Technology,IT Network Infra,Networking,Yes,18.5,95,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
257,Smartlink Holdings,SMARTLINK,NSE Emerge,NSE Emerge,Technology,Network Products,IT Products,No,0.0,280,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
258,Indian Hotels,IHC,NSE Emerge,NSE Emerge,Consumer,Hotels,Taj Hotels,Yes,1850.0,65000,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
259,EIH Limited,EIHOTEL,NSE Emerge,NSE Emerge,Consumer,Hotels,Oberoi Hotels,Yes,280.0,9800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
260,Chalet Hotels,CHALET,NSE Emerge,NSE Emerge,Consumer,Hotels,Business Hotels,Yes,1850.0,5500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
261,Lemon Tree Hotels,LEMONTREE,NSE Emerge,NSE Emerge,Consumer,Mid-Market Hotels,Economy Hotels,Yes,1200.0,6500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
262,Mahindra Holidays,MHRIL,NSE Emerge,NSE Emerge,Consumer,Vacation Ownership,Club Mahindra,Yes,380.0,3200,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
263,Juniper Hotels,JUNIPER,BSE SME,BSE SME,Consumer,Hotels,Heritage Hotels,Yes,145.0,480,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
264,The Park Hotels,PARKHOTEL2,BSE SME,BSE SME,Consumer,Hotels,Boutique Hotels,Yes,95.0,280,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
265,Sayaji Hotels,SAYAJIHOTEL,BSE SME,BSE SME,Consumer,Hotels,Leisure Hotels,Yes,55.0,180,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
266,Geojit Financial,GEOJITFSL,NSE Emerge,NSE Emerge,Financials,Retail Broking,Stock Broking,No,0.0,850,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
267,SBFC Finance,SBFC,NSE Emerge,NSE Emerge,Financials,MSME Loans,SME Lending,Yes,5800.0,3200,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
268,Northern Arc Capital,NORTHARC,NSE Emerge,NSE Emerge,Financials,Debt Platform,MSME Finance,Yes,8500.0,3800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
269,Vaibhav Global,VAIBHAVGBL,NSE Emerge,NSE Emerge,Consumer,Online Jewelry,TV Shopping,Yes,85.0,3800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
270,CarTrade Tech,CARTRADE,NSE Emerge,NSE Emerge,Technology,Auto Platform,Auto Classifieds,No,0.0,2800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
271,Policybazaar,POLICYBZR,NSE Emerge,NSE Emerge,Financials,Insurtech,Insurance Aggregator,No,0.0,12500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
272,Yudiz Solutions,YUDIZ,BSE SME,BSE SME,Technology,Game Dev & AR/VR,Gaming Tech,Yes,3.5,85,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
273,One Click Logic,ONECLICK,BSE SME,BSE SME,Technology,Digital Marketing,MarTech,Yes,2.2,38,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
274,Sai Bhaskar Biotech,SAIBHASKBIO,BSE SME,BSE SME,Healthcare,Biotech,Enzymes,Yes,9.5,55,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
275,Vraj Iron & Steel,VRAJ,BSE SME,BSE SME,Industrials,TMT Bars,Steel Long Products,Yes,85.0,480,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
276,EMS Limited,EMS,NSE Emerge,NSE Emerge,Industrials,Water & Sewage EPC,Urban Infra,Yes,55.0,380,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
277,Ethos Limited,ETHOS,NSE Emerge,NSE Emerge,Consumer,Luxury Watches,Premium Watches,Yes,95.0,1800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
278,Kaynes Technology,KAYNES,NSE Emerge,NSE Emerge,Technology,EMS,IoT & Smart Mfg,Yes,285.0,5500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
279,Avalon Tech (EMS),AVALONEMS,BSE SME,BSE SME,Technology,EMS,PCB Assembly,Yes,45.0,380,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
280,Electro Force India,ELECTROF,BSE SME,BSE SME,Industrials,Electrical Contracting,Power EPC,Yes,18.5,85,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
281,Maxvolt Energy,MAXVOLT,BSE SME,BSE SME,Energy,Li-ion Battery,Energy Storage,Yes,22.0,120,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
282,Shri Ram Switchgear,SRSWITCH,BSE SME,BSE SME,Industrials,Switchgear,Electrical Panel,Yes,12.5,65,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
283,Maris-Tech,MARISTECH,BSE SME,BSE SME,Technology,IoT,Industrial IoT,Yes,5.5,55,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
284,Shubhlaxmi Poly Yarn,SHUBHLAXMI,BSE SME,BSE SME,Textiles,Polyester Yarn,Synthetic Textile,Yes,28.5,85,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
285,HMA Agro Industries,HMAAGRO,NSE Emerge,NSE Emerge,Agriculture,Frozen Meat Export,Agri Export,Yes,85.0,350,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
286,Arkade Developers (Corp),ARKADECORP,BSE SME,BSE SME,Real Estate,Township,Integrated Township,Yes,180.0,380,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
287,Aayam Medicaments,AAYAM,BSE SME,BSE SME,Healthcare,Generic Pharma,OTC Drugs,Yes,5.5,42,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
288,Vimta Labs,VIMTALABS,NSE Emerge,NSE Emerge,Healthcare,Testing Lab,Pharma & Food Testing,Yes,22.0,480,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
289,Galaxy Surfactants,GALAXYSURF,NSE Emerge,NSE Emerge,Materials,Surfactants,Personal Care Chem,No,0.0,5500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
290,Gujarat Fluorochemicals,GUJFLUORO,NSE Emerge,NSE Emerge,Materials,Fluoro Polymers,PTFE & Refrigerants,Yes,650.0,22000,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
291,Navin Fluorine,NAVINFLUOR,NSE Emerge,NSE Emerge,Materials,CRAMS Fluoro,Specialty Fluoro,Yes,285.0,14500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
292,Himadri Speciality,HISARCHEM,NSE Emerge,NSE Emerge,Materials,Carbon Black,Coal Tar Chem,Yes,580.0,6500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
293,Caplin Point Labs,CAPLINPNT,NSE Emerge,NSE Emerge,Healthcare,Branded Generics,LatAm Pharma,No,0.0,5800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
294,Neuland Laboratories,NEULAND,NSE Emerge,NSE Emerge,Healthcare,API CRAMS,Complex API,Yes,285.0,5500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
295,Solara Active Pharma,SOLARA,NSE Emerge,NSE Emerge,Healthcare,API,Ibuprofen API,Yes,380.0,1200,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
296,Sequent Scientific,SEQUENT,NSE Emerge,NSE Emerge,Healthcare,Vet API,Animal Health,Yes,580.0,2800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
297,Concord Biotech,CONCORDBIO,NSE Emerge,NSE Emerge,Healthcare,Fermentation API,Biotech API,No,0.0,5500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
298,Innova Captab (NSE),INNOVACAPNSE,NSE Emerge,NSE Emerge,Healthcare,CDMO,Pharma Services,Yes,145.0,1800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
299,Gland Pharma,GLAND,NSE Emerge,NSE Emerge,Healthcare,Injectables,Generic Injectables,Yes,380.0,18500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
300,Strides Pharma,STAR,NSE Emerge,NSE Emerge,Healthcare,Regulated Generics,US Generic Drugs,Yes,580.0,4500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
301,Ceinsys Tech,CEINSYS,NSE Emerge,NSE Emerge,Technology,GIS & Engineering,Geospatial Tech,Yes,22.5,280,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
302,MPS Limited,MPS,NSE Emerge,NSE Emerge,Technology,Publishing Tech,EdTech Publishing,No,0.0,1800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
303,Take Solutions,TAKE,NSE Emerge,NSE Emerge,Technology,SCM Software,Life Sciences IT,Yes,95.0,580,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
304,Nucleus Software,NUCLEUSFTS,NSE Emerge,NSE Emerge,Technology,Banking Software,Fintech Software,No,0.0,1800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
305,Netsol Technologies,NETSOL,BSE SME,BSE SME,Technology,Leasing Software,Auto Fin Software,No,0.0,380,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
306,Intellect Design Arena,INTELLECT,NSE Emerge,NSE Emerge,Technology,Banking IT,Digital Banking,Yes,95.0,4800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
307,RS Software,RSSOFTWARE,NSE Emerge,NSE Emerge,Technology,Payments IT,Payment Technology,Yes,8.5,180,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
308,Firstsource Solutions,FSL,NSE Emerge,NSE Emerge,Technology,BPO/BPM,Digital BPS,Yes,280.0,4500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
309,Eclerx Services,ECLERX,NSE Emerge,NSE Emerge,Technology,KPO,Analytics BPO,No,0.0,4800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
310,NIIT Learning,NIIT,NSE Emerge,NSE Emerge,Technology,Corporate Learning,EdTech,Yes,45.0,1200,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
311,Zensar Technologies,ZENSARTECH,NSE Emerge,NSE Emerge,Technology,IT Services,Digital Transformation,Yes,55.0,6500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
312,Persistent Systems,PERSISTENT,NSE Emerge,NSE Emerge,Technology,IT Services,Cloud & Digital,No,0.0,58000,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
313,Mphasis,MPHASIS,NSE Emerge,NSE Emerge,Technology,IT Services,BFS Technology,No,0.0,28000,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
314,Hexaware Technologies,HEXAWARE,NSE Emerge,NSE Emerge,Technology,IT Services,AI-led BPS,Yes,120.0,22000,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
315,Birlasoft,BSOFT,NSE Emerge,NSE Emerge,Technology,IT Services,ERP & Cloud,Yes,38.5,5500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
316,Mastek,MASTEK,NSE Emerge,NSE Emerge,Technology,IT Services,Government Digital,Yes,45.0,3800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
317,NIIT Technologies,NIITLTD,NSE Emerge,NSE Emerge,Technology,IT Services,Travel Tech,Yes,55.0,4200,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
318,Tata Elxsi,TATAELXSI,NSE Emerge,NSE Emerge,Technology,Design & Technology,Auto & Media Tech,No,0.0,35000,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
319,L&T Technology Services,LTTS,NSE Emerge,NSE Emerge,Technology,Engineering Services,ER&D,No,0.0,38000,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
320,Happiest Minds,HAPPSTMNDS,NSE Emerge,NSE Emerge,Technology,Digital IT,Born Digital,No,0.0,8500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
321,Route Mobile,ROUTE,NSE Emerge,NSE Emerge,Technology,CPaaS,Cloud Communication,Yes,285.0,5500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
322,Tanla Platforms,TANLA,NSE Emerge,NSE Emerge,Technology,Messaging Platform,Enterprise Messaging,No,0.0,5500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
323,Indiamart Intermesh,INDIAMART,NSE Emerge,NSE Emerge,Technology,B2B Marketplace,SME Marketplace,No,0.0,12500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
324,TradeIndia (Infocom Network),TRADEINDIA,BSE SME,BSE SME,Technology,B2B Portal,Digital Trade,Yes,12.0,95,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
325,Affle India,AFFLE,NSE Emerge,NSE Emerge,Technology,Mobile Marketing,AdTech,Yes,95.0,9800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
326,Dr Lal Pathlabs,LALPATHLAB,NSE Emerge,NSE Emerge,Healthcare,Diagnostics,Pathology Labs,No,0.0,15000,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
327,Metropolis Healthcare,METROPOLIS,NSE Emerge,NSE Emerge,Healthcare,Diagnostics,Lab Network,No,0.0,4800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
328,Thyrocare,THYROCARE,NSE Emerge,NSE Emerge,Healthcare,Diagnostics,Franchise Diagnostics,No,0.0,1800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
329,Healthium Medtech,HEALTHIUM,NSE Emerge,NSE Emerge,Healthcare,Surgical Devices,Wound Care,Yes,145.0,1500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
330,Poly Medicure,POLYMED,NSE Emerge,NSE Emerge,Healthcare,Medical Devices,IV Therapy,Yes,85.0,3200,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
331,Nile Surgicals,NILE,BSE SME,BSE SME,Healthcare,Surgical Instruments,OT Equipment,Yes,5.5,45,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
332,Sutures India,SUTURESINDIA,BSE SME,BSE SME,Healthcare,Sutures,Wound Closure,Yes,18.5,120,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
333,Shree Ram Surgical,SHREERAMS,BSE SME,BSE SME,Healthcare,Surgical Disposables,Hospital Supplies,Yes,8.5,55,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
334,Gufic Biosciences,GUFICBIO,NSE Emerge,NSE Emerge,Healthcare,Lyophilized Injectables,Specialty Pharma,Yes,55.0,1800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
335,Hester Biosciences,HESTERBIO,NSE Emerge,NSE Emerge,Healthcare,Vet Vaccines,Animal Health,No,0.0,1200,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
336,Indian Immunologicals,INDIANIMM,BSE SME,BSE SME,Healthcare,Vaccines,Vet & Human Vaccines,Yes,45.0,480,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
337,Windlas Biotech,WINDLAS,NSE Emerge,NSE Emerge,Healthcare,CDMO,Pharma Contract,Yes,45.0,650,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
338,Medplus Health Services,MEDPLUS,NSE Emerge,NSE Emerge,Healthcare,Pharmacy Retail,Drug Retail,Yes,380.0,4500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
339,Wellness Forever,WELLNES,BSE SME,BSE SME,Healthcare,Pharmacy Retail,Pharmacy Chain,Yes,55.0,480,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
340,Aspire Medico Surgical,ASPIREMD,BSE SME,BSE SME,Healthcare,Ortho Implants,Implants,Yes,12.5,85,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
341,Paisabazaar (PB Fintech),PBFINTECH,NSE Emerge,NSE Emerge,Financials,Fintech Platform,Lending Platform,No,0.0,14500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
342,Nuvama Wealth,NUVAMA,NSE Emerge,NSE Emerge,Financials,Wealth Management,Private Wealth,Yes,1200.0,9800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
343,360 One WAM,360ONE,NSE Emerge,NSE Emerge,Financials,Wealth & AMC,Wealth Tech,Yes,280.0,12500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
344,Anand Rathi Wealth,ANANDRATHI,NSE Emerge,NSE Emerge,Financials,Wealth Mgmt,MFD & Wealth,No,0.0,8500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
345,IIFL Finance,IIFL,NSE Emerge,NSE Emerge,Financials,NBFC,Diversified Lending,Yes,28500.0,8500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
346,Ugro Capital,UGROCAP,NSE Emerge,NSE Emerge,Financials,MSME Finance,Co-Lending,Yes,2800.0,1200,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
347,Lendingkart Finance,LENDINGKART,BSE SME,BSE SME,Financials,MSME Digital Loans,Fintech Lending,Yes,1800.0,580,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
348,NeoGrowth Credit,NEOGROWTH,BSE SME,BSE SME,Financials,Retail MSME Loans,POS-based Lending,Yes,1200.0,380,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
349,U GRO Capital,UGROCAP2,BSE SME,BSE SME,Financials,SME Secured,SME Loans,Yes,2200.0,850,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
350,Stashfin,STASHFIN,BSE SME,BSE SME,Financials,Personal Fin,Digital Lending,Yes,480.0,280,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
351,Incred Financial,INCRED,BSE SME,BSE SME,Financials,Education & MSME Loans,Specialty NBFC,Yes,3800.0,1200,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
352,Veritas Finance,VERITAS,BSE SME,BSE SME,Financials,Micro Finance,Micro NBFC,Yes,850.0,380,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
353,Kinara Capital,KINARA,BSE SME,BSE SME,Financials,MSME Manufacturing,Asset Finance,Yes,1200.0,480,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
354,Vaya Finserv,VAYAFIN,BSE SME,BSE SME,Financials,Rural MSME,Agri Finance,Yes,580.0,280,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
355,RING (formerly Kissht),RING,BSE SME,BSE SME,Financials,Consumer Lending,BNPL,Yes,280.0,380,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
356,Greaves Cotton,GREAVESCOT,NSE Emerge,NSE Emerge,Industrials,Engines & EV,Mobility,Yes,285.0,3200,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
357,Kirloskar Brothers,KIRLOSBROS,NSE Emerge,NSE Emerge,Industrials,Pumps,Industrial Pumps,Yes,180.0,4800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
358,Praj Industries,PRAJIND,NSE Emerge,NSE Emerge,Industrials,Bio Ethanol EPC,Bioenergy,Yes,85.0,6500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
359,ThyssenKrupp (India),THYSSENKRU,BSE SME,BSE SME,Industrials,Material Handling,Steel & Elevator,Yes,28.5,280,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
360,Rolex Rings,ROLEXRINGS,NSE Emerge,NSE Emerge,Industrials,Forged Rings,Auto & Bearings,Yes,380.0,2800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
361,Ramco Systems,RAMCOSYS,NSE Emerge,NSE Emerge,Industrials,ERP Software,Aviation ERP,Yes,55.0,1200,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
362,Carborundum Universal,CARBORUNIV,NSE Emerge,NSE Emerge,Industrials,Abrasives,Industrial Abrasives,Yes,185.0,9800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
363,Ahlstrom Munksjö,AHLSTROM,BSE SME,BSE SME,Industrials,Specialty Paper,Filtration Paper,Yes,22.0,95,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
364,Uniparts India,UNIPARTS,NSE Emerge,NSE Emerge,Industrials,Agri Components,3-Point Linkage,Yes,120.0,1200,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
365,Ramkrishna Forgings,RKFORGE2,NSE Emerge,NSE Emerge,Industrials,Steel Forgings,Commercial Vehicle,Yes,580.0,3800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
366,Welspun Corp,WELCORP,NSE Emerge,NSE Emerge,Industrials,Steel Pipes,Oil & Gas Pipes,Yes,1850.0,9800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
367,Maharashtra Seamless,MAHSEAMLES,NSE Emerge,NSE Emerge,Industrials,Seamless Pipes,OCTG Pipes,Yes,120.0,3800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
368,Prakash Industries,PRAKASH,NSE Emerge,NSE Emerge,Industrials,Steel,Integrated Steel,Yes,580.0,2800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
369,APL Apollo Tubes,APLAPOLLO,NSE Emerge,NSE Emerge,Industrials,Structural Steel,ERW Tubes,Yes,1200.0,18500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
370,Jindal Saw,JINDALSTEL,NSE Emerge,NSE Emerge,Industrials,Pipes,Infrastructure Pipes,Yes,2800.0,8500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
371,V-Mart Retail,VMART,NSE Emerge,NSE Emerge,Consumer,Value Fashion,Tier 2-3 Retail,Yes,120.0,2800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
372,Landmark Group (Lifestyle),LANDMARK2,BSE SME,BSE SME,Consumer,Dept Store,Fashion Retail,Yes,380.0,1200,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
373,Nykaa (FSN E-Commerce),NYKAA,NSE Emerge,NSE Emerge,Consumer,Beauty Retail,Beauty eComm,No,0.0,22000,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
374,Mamaearth (Honasa),HONASA,NSE Emerge,NSE Emerge,Consumer,D2C Beauty,Digital Beauty,No,0.0,4500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
375,Gillette India,GILLETTE,NSE Emerge,NSE Emerge,Consumer,Grooming,P&G Products,No,0.0,9800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
376,Emami Limited,EMAMI,NSE Emerge,NSE Emerge,Consumer,Ayurvedic FMCG,Healthcare FMCG,Yes,285.0,8500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
377,Bajaj Consumer Care,BAJAJCON,NSE Emerge,NSE Emerge,Consumer,Hair Oils,FMCG Haircare,No,0.0,3800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
378,Jyothy Labs,JYOTHYLAB,NSE Emerge,NSE Emerge,Consumer,Fabric & Dish,Household FMCG,No,0.0,6500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
379,Ghari Industries,GHARI,BSE SME,BSE SME,Consumer,Detergent,Laundry FMCG,Yes,55.0,280,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
380,Patanjali Wellness,PATANJWEL,BSE SME,BSE SME,Consumer,Ayurvedic FMCG,Natural Products,Yes,85.0,580,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
381,Vanesa Care,VANESA,BSE SME,BSE SME,Consumer,Deodorants,Personal Care,Yes,28.5,185,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
382,RSPL Group (Rohit Surfactants),RSPL,BSE SME,BSE SME,Consumer,Detergent & Chemicals,Home Care,Yes,95.0,380,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
383,Veefin Solutions,VEEFIN,BSE SME,BSE SME,Technology,Supply Chain Finance,Trade Finance Tech,Yes,8.5,85,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
